 MASS_RT,2,5,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,68,70,71, C12A, C15B, C19B, C21B, C23A, C25B, C27A, C28A, C2A, C30B, C32B, C33A, C34B, C35B, C36A, C39A, C40B, C42A, C43A, C44B, C46B, C47A, C48A, C50B, C53A, C56B, C57A, C5A, C60A, C62B, C64B, C65A, C67B, C68A, C70A, C71B, C8A,,,,,
545.3467_18.65,306059,368759,546302,540928,382217,397014,258387,248648,228742,445037,357707,326130,360486,247121,437259,619612,366738,179199,433591,315086,253022,250938,326710,239858,306911,320644,397173,423494,290717,636567,494575,695794,312578,159239,243381,172849,652806,308576,268287,369237,272791,373859,258928,471834,315234,433330,249041,225317,197887,832924,368317,232397,415888,381605,117922,144014,461465,306308,471684,238450,261845,226516,553303,295876,314371,379299,376700,289688,184381,271846,407565,284615,178639,,,,,
545.347_19.24,1675839,1779924,2660841,2733195,1659754,1830916,1337147,1230991,1089298,2130725,1690613,1613787,1689650,1209698,2127699,2947477,1819757,848213,2150926,1538138,1230287,1203413,1726704,1272949,1503403,1701107,2160750,2196459,1374553,2962139,2510368,3576490,1337860,788713,1265402,893348,2640958,1483217,1329883,1617879,1281245,1849373,1435170,2204403,1502644,2230026,1147488,1060216,1033048,4077222,1749542,1179873,2104470,2032287,559613,690070,2280079,1378202,2363911,1304919,1163369,1141335,2671418,1431454,1699084,1782478,1887509,1407092,984793,1286522,2020044,1379406,907836,,,,,
545.9092_0.63,41123,37187,47344,46605,53688,41308,46130,43362,55130,44399,42835,54261,45443,49430,47179,45003,47903,48987,45013,52240,44019,53141,43919,42904,49552,55034,41764,49503,55928,51472,49686,41775,52146,50895,39810,47639,50506,54708,45288,52576,46903,52396,49091,50245,49150,37427,43575,47139,45478,51630,47748,43715,50153,55250,51624,49378,41488,43481,51513,48790,53067,47998,48429,53599,48694,55262,52125,43812,49962,54712,43024,46934,43001,,,,,
547.2883_20.01,49409,21669,14229,19669,20941,49168,7406,9518,12117,27270,20554,20584,12672,17161,19101,21161,15849,15972,23474,21719,17935,13572,22461,21347,16453,17491,10359,14841,15000,22481,14338,19648,14670,17455,27921,12497,17805,19909,29208,16180,12873,11886,22036,14298,10045,13564,16776,14834,14266,23082,22819,16832,19200,17561,8096,11297,23313,13951,19721,13653,12836,14620,17823,13572,20382,15241,27156,60811,15169,12120,32106,18358,9241,,,,,
549.3035_23.17,33347,37082,22601,39942,34357,63724,21162,31173,18884,25934,38790,31579,27114,28523,32025,40327,29400,15685,29476,25949,29265,16692,27751,19853,24976,30077,14494,31009,23085,35228,35031,66838,36849,27243,23908,21256,35870,17600,41470,26163,31164,27178,34853,33554,25783,27050,26469,19243,20156,43733,39309,16528,32115,26912,13767,16272,25707,36251,35256,18234,24735,35213,49412,25699,28149,32825,33119,55756,38782,30238,48814,21490,24402,,,,,
551.3577_21.27,24227,27645,48483,45718,19037,36355,50464,37120,24077,55228,63467,41777,31605,54780,33882,49539,22587,33581,40701,55641,43090,39372,47860,49853,38661,58955,24463,52925,50148,40626,48412,36805,30589,46796,49537,33305,36763,47345,71153,27680,38125,36377,72927,31503,44625,44888,35947,27173,22481,51494,43916,30123,41110,44097,11266,25648,48220,22387,32741,16794,19098,57911,30973,54752,38237,30729,59659,31267,44624,25769,69478,43209,48164,,,,,
553.323_17.72,28171,44160,45091,48872,24120,67531,67715,38940,25479,54660,45394,62917,34818,28903,32845,49989,40538,41774,30040,44718,39903,21920,40101,21303,41356,42725,32966,43967,33844,41660,47618,53589,38151,32810,31610,20672,35383,34886,58547,38422,26378,46880,60522,24059,35816,42233,33697,21229,15224,57030,44312,23307,54438,28808,12734,17437,35376,28987,39478,26711,23190,34884,45967,31119,32087,37595,41864,36538,23583,46724,37715,52958,45927,,,,,
553.3366_18.38,106391,130384,95964,126789,80522,183444,222115,75509,78728,127707,141905,120547,67269,100587,78733,110913,76335,115067,77387,129971,96009,67990,105625,49824,90708,101551,77056,92511,126283,94735,105803,103007,111441,62952,109013,72665,105914,102606,154243,143149,68194,86626,182291,69002,94815,94164,88965,66734,67787,165956,91537,68731,142997,99782,39376,77525,102665,95761,116581,77589,76922,106257,129561,87805,101927,103046,126963,133807,79607,101868,151324,223363,119144,,,,,
553.3474_20.72,145660,176495,143619,300401,210420,238390,223505,111887,179922,231485,362917,265317,162021,270422,92176,343460,174978,211893,202137,443367,338658,149143,149909,136061,143173,241202,172125,229370,251365,241485,239007,238538,299179,148920,263702,178653,230049,218565,286549,205762,152129,104025,242199,221803,255996,226189,126432,161753,145246,404687,225823,131949,196821,192111,118017,210433,161682,168146,205293,93789,179053,264356,231492,308368,326913,166096,451624,335919,176394,123620,438452,485928,222760,,,,,
553.3737_21.26,483455,634842,705122,1039633,658539,682248,933857,675429,543598,801945,1198526,911640,683739,965704,557037,1148005,611633,725447,786240,1238501,1165240,564444,593996,629479,522674,1041063,586715,835867,929519,860278,906422,728379,898272,698037,934714,644881,804114,849309,1237673,796257,542172,443239,1186433,702241,916043,884621,598266,519829,504098,1348822,859181,457889,668728,760009,376708,598971,708628,532750,694027,322999,563756,973168,707558,1029571,990020,616952,1378886,950161,711707,431030,1453654,1245607,845444,,,,,
553.3744_24.6,60736,64614,102974,121334,64881,96857,152393,110340,60112,118186,103823,121932,103846,140434,77902,121807,85127,99746,106738,136623,143564,85531,120093,101899,96672,144233,86608,129487,135175,118493,204159,90512,116819,141115,141911,111040,97058,109780,197577,103381,91895,80344,208854,103434,131342,102455,92536,75941,68707,126685,123664,69185,81050,110933,55306,71240,104821,65892,109449,60346,74919,180881,123430,130515,144046,87858,190007,129260,125683,77017,182386,113787,126359,,,,,
553.3873_21.29,321377,419702,398578,623053,414577,398487,646310,469516,341989,456013,747413,579608,445936,581692,349862,716283,397399,440021,506511,721998,753264,309674,301911,364381,297391,643673,332337,505469,497622,520882,510705,479413,572304,401836,565292,380105,485091,492836,751085,469872,346513,266900,738676,432954,520907,571811,332846,298095,311773,849848,538109,268337,361060,449271,236465,326132,364965,332330,413573,193064,350237,577995,446635,593904,648245,346097,858031,609616,451677,256562,883753,689817,478603,,,,,
554.2056_31.03,33867,18371,72376,40326,19953,21397,36332,21499,13479,30509,49154,23253,57925,21627,53010,72079,54916,27673,21640,22516,31371,28864,52093,22703,37485,26182,56059,35645,31157,72449,50452,37106,32272,22225,24863,31764,71974,47182,35752,39513,42851,44617,43179,23941,40460,40207,19911,46571,13708,117038,43138,72059,69518,50904,39109,14131,175048,127528,19287,9600,28910,53791,32820,81041,21614,32977,70954,60722,22946,34075,41017,26158,48058,,,,,
555.3079_17.06,135508,131723,81350,133948,76263,129755,130923,117697,88669,137027,129412,142408,89040,119225,68454,99040,81415,122185,148675,152338,157723,104083,96748,122500,97098,147120,78773,156310,81589,114246,140399,129316,77623,124805,122773,133122,125905,99750,158670,81045,88211,104314,197138,110121,113136,111465,93167,89669,81209,163263,143982,102677,104033,172024,67244,82011,105267,83873,75686,97137,107996,106220,161311,94294,153297,91048,175221,222997,92353,69699,209666,101572,110430,,,,,
555.3083_17.69,488490,490940,356655,534296,328815,494992,512415,484371,361628,495360,458449,566182,385323,440672,316000,409910,375953,508140,644854,538279,633918,430140,410493,511989,420921,598904,386486,644030,333646,471688,589194,516555,307222,529121,481937,511047,503922,436430,648693,360166,339607,426939,734550,406508,457315,450707,398787,367330,365002,629073,543106,387762,447053,671054,293680,320954,435038,357370,332900,428583,475248,472115,562591,415044,666897,376479,686901,741348,396529,298423,864074,397568,482875,,,,,
555.3531_21.29,303737,407622,384583,584531,403769,394419,611953,454567,338727,455538,730885,555777,434316,575928,345561,680833,370481,427656,475730,708099,706879,302090,291768,349303,284065,623604,317507,490442,496211,508426,483774,468674,561958,392636,552360,370298,474281,482643,741096,458756,345841,265125,737198,430025,510541,560718,326961,294410,305345,826403,530516,248506,347810,436581,229743,321384,360247,316957,396331,186507,336580,583657,440514,574115,634651,339260,830487,606646,442155,249885,850312,678140,466557,,,,,
555.3532_20.72,192660,235513,188895,390817,273892,306539,300029,143775,231997,288909,476476,348578,212195,353775,126455,432416,218999,269294,276773,572245,435628,189255,196167,174804,199990,300791,221672,297597,329018,303241,292675,287532,390672,188920,337683,237053,351258,304351,371769,277366,198370,150816,327394,293353,368262,280105,177110,220719,192932,510060,305734,174002,265810,249932,150897,279660,231005,236227,259994,125098,233332,339427,301076,386942,412642,239687,559346,437267,226228,173401,565886,645785,288516,,,,,
557.2231_37.41,7950,13200,32231,33837,21366,95484,17424,62371,64736,35520,25676,38386,23950,44958,28710,25249,36718,30092,34431,18668,32340,19727,27715,39694,37774,22580,20828,22165,32252,29019,31388,41822,78867,29690,75977,19746,38161,43008,19551,35830,59725,48354,51672,36621,36134,66199,29727,12422,49036,25547,48291,14498,29115,29898,29076,34498,36422,34258,30418,27547,34573,65405,79167,38848,63848,54494,28436,80638,27751,33027,25093,33023,30481,,,,,
557.3031_17.71,173374,191504,153200,196806,117132,212472,209968,195363,135374,209379,178100,212017,149445,162065,127628,168069,166780,180524,202723,205604,208912,144296,160604,175827,159593,225028,149438,239958,126524,175002,228519,232641,130320,184989,178919,173014,172990,159600,233310,134713,133158,168494,246466,150706,166053,186741,152345,137475,117541,237948,198044,146572,189001,221818,100077,108144,154410,135380,138368,155452,158362,174020,207773,153215,238738,137623,229023,239407,150591,140976,271472,150187,181439,,,,,
557.3246_20.19,334283,316945,355712,368529,226089,592489,258953,300770,196847,425514,406070,291413,244746,346052,288666,343519,285972,247964,254772,410103,325400,228411,482522,229529,308805,347798,229336,302449,376131,385565,356216,250249,288975,278572,411916,269034,280491,362932,419254,352079,188785,280102,426179,214206,286216,316291,295967,220556,199628,489729,259398,323138,493071,282237,142640,191090,409411,348479,329040,217704,163917,290371,297282,381293,333760,259376,430724,364296,209533,280413,432178,424259,302263,,,,,
557.3268_19.57,58154,56845,55916,58068,39822,103794,39654,48301,34005,67308,72958,51527,40508,57878,50228,55069,46575,41268,43122,72516,47952,40088,73657,40961,48912,54764,38219,47709,65499,61844,60304,42910,48860,40189,72196,49757,49637,52626,70848,53882,32607,40749,66774,37767,43885,49306,51061,38746,32999,73022,42534,58004,65699,48466,25903,37059,62407,53974,57851,39850,29480,51177,51016,64201,53096,45980,70650,64520,39312,43782,67013,75828,48670,,,,,
557.3309_9.58,35213,45149,36656,58314,32290,28190,57129,73856,45160,67401,39339,76100,27361,50159,37975,56331,52941,49549,42200,48717,61393,37389,64233,38920,35580,46778,32101,44333,57777,35996,89913,42128,51199,50985,51809,40695,36151,54491,106750,73964,48123,53849,75212,63331,32948,18363,32171,16597,53857,49994,37847,42361,33950,33320,24999,35605,49598,34514,48266,21057,31312,57020,38474,37910,58893,37056,42641,39219,44900,49587,77014,48750,75925,,,,,
557.3312_9.58,35369,44461,36656,58314,32189,28215,57129,74102,45356,67510,38963,76592,27481,50292,38130,56331,53303,49635,42500,48432,61532,37278,64233,38936,35580,46778,32101,44391,57827,35872,89998,42157,51391,50985,52223,40154,36316,54495,106735,73964,48254,54393,76013,63355,33022,18463,32216,16598,53963,49994,38275,41785,33950,33301,24982,35552,50214,34514,48265,21029,31291,57306,38680,37918,59148,37336,42586,39394,44956,49588,76880,48598,76044,,,,,
557.3314_16.49,521364,930017,1008512,1068479,652703,2023737,515067,377959,513036,950710,755055,732578,437751,518927,695754,719233,504487,372767,519136,468629,453693,332642,1277738,418338,563311,662648,401918,546465,698584,751567,1080740,695411,583549,444519,538237,465107,746259,569520,725207,1079979,401109,1045933,532163,623648,514074,650302,509048,393627,346329,1028473,614119,460455,871762,473386,227626,377684,825278,806303,836234,659298,484995,432930,916500,739628,444493,907656,835270,781944,383534,849615,1050646,1048054,620851,,,,,
558.3275_19.4,71665,76460,80850,90159,64284,118068,67707,72635,53832,84155,92290,86338,67970,79358,78806,79137,70580,68743,76151,85766,75505,55206,100865,59637,75375,85028,59886,77862,84094,83980,97466,79878,68642,65844,85888,69865,81249,68546,104893,85421,54582,72540,93510,69845,75238,80021,80490,57221,55234,102634,78423,73267,89883,80243,41451,52070,88212,82118,82983,65637,58231,80803,76769,93380,89643,79469,97854,84362,68760,69197,105831,96233,75739,,,,,
559.3218_20.2,93417,88264,96956,97513,62696,163073,69769,79720,56060,118852,112268,79728,66641,96757,85249,95731,81905,65669,60989,113709,81669,62436,129365,72915,81563,96625,64875,75388,104320,106068,95915,69184,82696,74597,115257,75931,89792,96371,116715,98839,55299,74554,109354,60365,80183,95187,84463,62828,59340,130058,67880,91829,126092,77253,39038,54512,118146,95751,84571,66883,45580,79616,83229,101561,99827,80067,105954,101626,52722,74782,107073,119788,80885,,,,,
559.3386_22.62,48818,71556,84213,84575,67857,82074,82307,80693,55935,67408,88788,92818,62570,86628,54452,85681,52089,54211,68655,79427,85925,48799,57813,61496,55558,93885,42093,77240,73209,77005,100296,65084,68707,67136,82318,67258,82847,62911,101475,64554,52534,64036,103872,67691,62617,64778,67208,45685,38487,108476,79477,43546,56629,72640,30834,38468,59602,63454,66184,40809,54174,60957,65860,74476,69613,67122,104063,83008,66157,47376,113861,75833,61861,,,,,
559.3393_23.51,255697,351341,436251,422878,339253,425341,425497,408335,297065,382470,440209,460468,316239,439287,296022,416732,279711,274845,343238,382193,440057,264881,316451,335916,283660,455440,244958,389300,403973,384719,507015,366404,347445,355152,422292,336336,433000,335961,496537,355361,277437,328899,530411,394365,345895,334914,357148,277360,216612,541743,417279,224462,297889,379030,154741,210438,341028,315886,346153,231409,293275,334767,337663,419999,368374,348394,513888,427345,355229,251792,585743,354317,338879,,,,,
560.4055_30.43,45338,23251,54169,27667,31956,25952,69883,13233,38893,33251,26482,168731,73169,39366,14402,29007,22860,30074,60346,11712,55230,37354,22412,42507,31233,27606,29915,43268,18881,62550,122212,39951,27893,15887,32884,38826,21433,55745,88160,30613,19585,39032,121455,25244,55084,9616,20250,37486,33907,61012,54190,41995,25082,53997,42390,8379,48736,9484,19980,44778,54391,39241,10317,39616,28273,18151,23343,28925,20087,14421,62357,11412,103085,,,,,
560.4745_30.87,47646,45344,58964,33960,27946,37771,34438,28517,17782,38315,51853,43081,48704,42997,76026,45558,63104,34398,32122,34114,32550,25151,51018,37505,41463,28141,52026,47295,38879,48452,52814,66411,41733,25242,34504,66511,84566,44690,39913,38021,37970,66855,53829,33459,33466,52554,27072,53785,20660,73227,66063,52342,64395,63241,46497,15664,114808,97549,24695,12500,46918,64296,30155,83754,31037,40838,59899,25747,37397,38258,58012,34577,39909,,,,,
563.3216_15.94,347092,428290,402627,326741,279199,487312,294675,281244,287769,269151,294884,451650,190008,205514,200661,356369,167279,110531,267489,299204,124247,174354,381777,112388,211343,160572,148148,169655,182995,285192,399385,207484,111050,231863,224886,196088,282289,226719,247516,308209,91621,261475,347404,268655,200937,192622,195718,192452,175254,421509,245035,175093,213265,232896,60596,162319,248026,255030,285583,291314,201957,133910,172312,235643,258353,170577,313697,814048,135559,211803,279585,421584,163177,,,,,
565.3372_17.04,3424177,3562512,2348263,3997565,2129154,3642558,3970661,3146501,2319840,3755736,3470414,4153838,2550222,3187818,1817672,2825793,2238494,3594016,4258905,4204025,4690195,3041111,2717682,3247617,2823427,4345510,2227284,4466441,2134330,3364777,4202342,3441280,1992867,3720228,3282584,3598247,3646151,2919998,4801090,2310646,2300736,2905916,5684424,2827005,3164189,2929435,2464982,2393530,2133789,5044885,4015238,2585704,3031710,5054640,1997945,2123145,2875503,2438735,2076755,2690015,3069515,2873324,4526423,2689539,4217260,2470392,5364476,6440938,2439145,1999291,6358462,2742679,3185154,,,,,
565.3377_17.69,17047397,18327977,12494890,20370944,11012431,18603996,19634915,16750936,12428799,19486434,17176930,21856939,13165134,15979029,9954468,14240813,11986703,18965666,23065202,20848424,23888653,15387237,14802976,18441517,14510699,22780601,12720312,24479357,11611055,17682896,22527768,18227102,10393070,19690625,17459459,18910925,18390971,15580616,24888373,12497793,11426371,14681975,27458655,14514243,16001011,15707631,13299095,12482013,11788894,24959613,19988899,13592657,15726035,26387412,9612911,11074070,15137345,12608962,10917340,15000138,16322287,15315095,22123146,14488131,24492884,12446345,26495358,30133022,13161661,10264521,33318849,14116987,17487155,,,,,
567.3529_20.59,338081,320739,348911,857802,484458,576998,340603,223993,304884,394632,1056627,1126520,259636,896725,450727,737371,681817,369802,718170,863422,768591,292929,670849,799107,342005,715104,529288,609534,570853,423386,629023,804445,573233,443292,557005,552654,684505,475905,871225,466129,395511,291972,612834,487459,603876,802857,591761,348631,791837,1238550,718194,344985,609719,485002,278372,474787,504674,423806,665753,411263,391665,1122092,418447,953590,940692,509508,983534,834126,805333,297592,1244874,1042465,390927,,,,,
567.353_20.17,10773322,10538484,11969804,13357169,7006868,22494800,7958941,9229619,6656488,15671184,14108546,10252198,7544491,11912375,9976461,10905029,8363274,8247904,7581493,14571520,10406559,7009320,17650232,6809475,10127786,10760496,7135406,9309549,12734222,13690682,12709626,7582084,10183684,8801090,14904847,8430266,10122883,11828399,17586377,12162623,6119929,9014380,15633461,7112745,9755036,10362092,11365283,6857620,6474624,19188646,8944918,10806966,17921551,9092296,4261414,6177324,15592398,12102541,12237839,7791256,4943234,10262949,10779103,13932210,11098998,9195728,15728378,13255846,6933520,9329487,14586838,15441270,10174253,,,,,
567.3532_19.61,1782695,1738775,1946483,2100368,1296881,3965627,1249235,1526633,1123511,2393211,2439823,1784801,1275369,2008671,1783185,1867328,1541967,1415757,1445199,2494260,1693509,1221181,2840336,1297724,1670844,1871406,1183724,1663411,2225314,2242979,1998834,1314924,1594781,1406938,2492616,1396140,1737316,1873324,2716919,1934906,1074605,1447510,2516282,1112916,1587442,1779833,1897729,1172252,1062643,2929757,1397988,1814185,2656276,1496492,781629,1063946,2465880,1994174,2067473,1298018,845779,1686315,1782313,2369414,1679188,1549204,2529100,2178259,1221824,1541946,2272007,2560369,1670579,,,,,
568.3227_10.53,35237,202861,13279,6329,12939,18170,111542,45257,36927,96608,27660,22901,47590,13912,30738,59988,74767,241689,101467,52949,52980,133786,7580,79735,62104,90878,59818,70771,66304,81626,71368,31606,16137,26216,91277,55087,53940,58262,155133,201691,37121,169376,82642,62550,27232,98717,9504,121995,36969,67594,6453,36760,72884,28989,8855,7327,98463,18168,75881,27568,65429,1203,44083,10098,8634,122026,51637,2575,1511,2509,35063,56466,26149,,,,,
568.3557_20.61,72809,65012,111714,235964,125724,135652,93444,53575,71823,80473,199226,299493,72848,184311,90355,201833,167788,98537,188405,170141,202031,87662,178109,196353,87673,184370,143922,137771,117585,114255,179682,197672,113908,102531,117980,110673,158045,125724,206588,117105,86899,69161,123747,98752,142222,160094,122476,66012,171018,269778,163155,66479,144956,111305,72043,95697,114497,108610,159825,102474,93303,209982,93743,209782,178537,127304,239281,174768,180021,74258,282487,190692,101683,,,,,
569.3689_23.51,9475156,14542269,16635102,17149978,12759992,16634825,16010875,15738758,11563949,14922494,18394919,18987288,11832946,17700847,10672562,15761183,10062932,10602616,13365871,15495820,16877703,9850483,11408308,12124293,10447793,18445660,8762450,15177735,15664211,15092921,20155255,13754217,13173223,13255608,17330308,13463397,16498251,12776586,19699872,13431261,10537520,12864958,21377194,14874049,13008249,12813810,13042171,9897618,7832376,21746148,16328431,8440449,10857684,14438653,5442114,7785070,12790852,11842606,12882562,8122807,10945679,12586903,14020807,15708056,13960678,13028337,20761892,17527359,13044995,9381536,23734209,13913398,12850070,,,,,
569.369_22.71,1562401,2323226,2745295,2831232,2203646,2613240,2753849,2669060,1797301,2240667,2981457,3110628,2039855,2921056,1744352,2783940,1664546,1799899,2173009,2565602,2809124,1655470,1830419,1943854,1751140,3228302,1421453,2506308,2404394,2510067,3322822,2139162,2085777,2236458,2719600,2110134,2647691,2128153,3469573,2177249,1652081,2076021,3474942,2296843,2115693,1992038,2146003,1528810,1195171,3742309,2639343,1370305,1771177,2423066,980517,1252027,2011679,1993687,2195081,1287051,1806662,1957635,2191490,2508655,2178138,2120510,3578776,2768019,2128868,1552439,3884486,2417139,2083045,,,,,
574.4592_31.09,57003,88975,131835,97775,93660,47845,216446,55238,118372,85232,78164,512332,129615,104576,45621,102831,32500,115349,210867,37333,252409,89165,76366,174116,85047,119469,117986,155677,38713,104207,311411,188951,69491,131067,46361,95895,105457,253736,123356,42948,62491,114464,173205,110396,124954,36762,58822,47964,85096,114115,171848,124437,42644,229522,64517,41462,64345,37494,31914,195634,151000,60534,62687,79535,136178,53296,94821,102850,49936,79584,163942,40627,255529,,,,,
577.2034_37.71,33489,27376,41425,36415,35899,35173,38843,37812,37685,33258,30177,30632,40467,34288,35015,30198,32967,39125,32979,27668,25409,34614,36354,32140,36200,32889,36276,36360,33630,32084,38980,35790,35281,38101,34068,30825,31436,41785,32883,34983,36114,37616,39299,34295,32359,37680,34529,38272,27999,38206,36938,23798,33410,36581,36994,29007,33759,36991,33781,23806,27564,31737,36052,37692,35266,35891,34587,36174,35052,37800,25688,30781,32795,,,,,
577.292_15.89,24411,52869,24538,15337,15530,78409,185476,31657,26814,67020,36077,73935,39563,26687,16529,17531,34851,50347,8096,23321,23668,12720,43978,1166,52769,36943,14698,20055,25442,23340,31349,44075,17920,15664,36885,6354,14518,32591,78913,73513,26430,45865,71581,8047,17528,52697,51961,24870,2129,33014,28455,16908,53894,25528,9492,12149,22175,36260,29129,21645,17238,16084,37836,16258,16741,22360,19426,36929,13272,47397,10167,42306,44868,,,,,
579.3077_17.28,34983,40841,55056,52972,31435,64939,61918,39385,21475,60676,49222,46235,38823,32726,41722,52360,34988,33996,42523,48944,32437,28882,52370,29831,44563,50611,35830,37854,36572,54248,66854,63334,28546,27353,50563,27231,43706,39065,50177,32521,56067,46110,44229,47898,32888,56917,31054,31184,29990,60090,39778,19868,40235,52561,16649,26571,51696,32933,52238,39675,24820,50041,42807,47650,59777,32245,53519,42163,34365,39224,54179,66968,29651,,,,,
579.3088_17.88,133507,139241,215859,199274,117598,219336,224510,154321,87443,232392,168044,179005,154257,135011,182646,199629,144569,123246,173295,165156,115289,108656,202130,135625,188248,196198,146673,153067,149045,206841,270783,271195,107196,120934,195767,109104,171370,161362,188594,138033,210001,198603,157193,184510,133737,222078,129563,119974,129697,196643,162896,84520,149324,211719,76087,106725,227031,128383,216472,161132,102973,208287,140376,200671,268727,133895,194059,144259,167078,154431,213818,255713,120304,,,,,
580.3513_19.25,127017,130774,149300,166110,119385,148544,113911,117793,89926,139883,130798,135442,118229,118911,138258,159876,124792,94584,137057,119993,109372,89368,140896,103393,114916,133519,126724,146341,123275,151277,172413,192215,109501,91959,114427,107989,149349,108543,135911,125245,90715,124968,127808,139482,113929,147713,119930,97753,88946,191686,130216,96499,132361,145859,56225,72172,144544,117460,139573,107189,105994,125093,139316,132673,159845,129822,141797,120562,105985,105749,177342,132688,100213,,,,,
581.2939_15.3,26158,41201,52146,58049,50131,71093,36155,13985,32423,31985,41988,62030,29181,30535,38910,47237,29681,18552,37688,26102,24383,23213,40295,16252,29428,32763,20996,34276,22329,37250,61987,40936,30105,14726,21042,28493,39439,23519,34303,52531,22870,36724,19688,39261,31254,40765,33292,24852,28443,47505,44927,17808,32289,24423,10123,30064,26653,37007,38953,30212,39092,15741,30266,32932,23698,43936,43898,59205,16620,30358,46701,56875,21929,,,,,
582.2484_9.98,6610,4036,17213,15652,4330,4268,13161,12567,10418,18167,15469,8080,11553,8932,17607,13370,19342,10007,7752,6076,22247,19831,28546,9301,15309,23235,15181,13820,22452,22795,75384,8254,10467,14283,11126,24856,15696,23743,17618,9155,6009,32963,74313,12961,27699,11594,7272,5955,6711,25310,11108,13238,20089,22877,6579,4358,75692,33880,10387,3411,7386,19498,9430,17306,17628,42937,11033,10623,7300,8965,12078,28946,23914,,,,,
582.4621_28.15,26709,33037,81144,60871,12901,18168,157717,65320,15653,21915,43770,21768,118388,17472,37651,123022,28111,49917,22885,13563,45765,43673,16229,43080,17574,37191,45307,57821,22106,67723,142395,64097,28854,29904,10971,66224,98873,87166,27825,38556,77226,59990,45827,37657,53816,27921,6434,57319,7217,127352,130263,55703,21094,165673,56618,18591,106456,90762,2722,3887,166715,57297,136996,89669,68024,20770,104504,209592,25263,11770,134088,13877,82685,,,,,
583.3846_25.67,34765,52784,44928,62380,40456,46524,95009,49844,42966,56218,89768,68195,36880,66587,34674,65375,31702,36657,53910,64872,84633,36368,33777,40161,37535,70974,25222,49094,59941,43792,54644,36846,59151,53258,54921,43438,52879,54880,101695,57483,30350,31551,108411,51112,46459,48002,40267,35112,31677,74249,60613,28446,35095,50571,16461,27411,38856,41513,30918,20954,26514,43007,44329,45062,45694,33874,85281,58063,49025,25286,81566,54478,43969,,,,,
583.743_0.72,202179,254273,273201,330141,219005,397475,352228,171111,153672,278247,251424,298373,103738,151659,321631,49091,325080,313692,260108,136106,71863,317764,357623,465946,228911,192152,401444,405086,176817,373651,433917,545847,147172,312069,256564,143355,58851,287788,486118,340483,253197,372972,179490,172904,66425,380916,98363,94522,388917,363956,366486,196044,420486,381974,156596,121851,325483,291445,290529,364219,183006,385976,228201,389605,310503,218586,387131,281225,422706,309540,405322,180034,413687,,,,,
584.2617_15.71,9514,7378,25002,33143,11817,16207,28692,14935,22345,43091,26719,19665,18578,11482,27159,8238,10370,7016,2743,7241,19570,13834,34623,19597,24045,43651,30836,23909,31556,18746,69933,17069,15341,16312,18913,26872,30590,26211,39610,25299,13388,15608,98557,36315,15839,35564,36519,14883,9694,33683,3037,1120,14970,3125,1654,4350,20295,4230,9709,7871,6042,26177,11174,21055,38574,22478,10872,3585,3725,15381,9974,32796,33245,,,,,
584.2623_14.36,20935,17163,46375,57314,29780,27978,51143,30388,45954,80405,54808,38153,36204,25970,56961,20735,26838,20385,12235,18452,38865,31226,58789,41009,43557,77150,49716,49057,65324,44723,135690,32481,31981,32831,31999,60463,61980,51154,90111,46212,22063,34650,185967,76050,32848,58359,77943,28774,19833,57954,12776,7965,28912,11540,4940,12248,38483,12794,20398,21882,14352,42208,17639,44923,61324,47609,24834,7335,10380,35391,24576,66710,72818,,,,,
584.2635_32.87,52470,33673,115002,116705,62825,85514,109551,48972,101222,151660,83112,84539,96103,62663,120297,62273,66345,55643,36693,30502,98807,72985,121610,79378,98794,133542,96211,116898,125166,91882,222388,74082,77893,61818,90123,86395,132257,136619,143260,94566,64584,80339,209326,118699,83475,113986,128175,74297,52466,137995,38443,18033,59947,42571,27311,25032,91780,49215,53719,55769,52457,85806,44452,125138,88515,107711,63728,28992,33275,96020,68808,81456,124719,,,,,
584.2639_6.48,119597,95532,220750,244101,88980,120840,211303,163436,159606,342921,262144,161391,149968,179860,269784,119153,342555,198215,179446,201415,331308,325944,490673,175834,233339,390900,378529,313168,414535,362626,1137705,235834,201639,211370,227493,499692,233222,272965,259259,157184,105696,290522,759237,223017,261788,191214,174031,126398,121134,331738,182456,242654,323316,295552,110534,106088,836215,376030,166862,113057,145043,357185,159860,247372,459851,321115,203957,131395,107863,194950,270756,585813,431273,,,,,
585.3629_18.52,56859,85209,62248,96049,55480,104071,54626,66892,52455,85494,93316,82309,58996,80705,61792,72531,56708,48872,66247,65498,67235,41440,90184,51528,57257,82688,46658,64016,79764,72945,74157,71581,67404,63381,68654,76431,68702,53379,72382,91370,38804,70165,73979,77340,65223,67282,74243,44467,35071,84617,79018,55454,74994,69553,23038,41036,72348,65689,58585,52402,60046,71344,69505,80362,83479,77727,76663,75528,56812,52981,120066,94327,60178,,,,,
