 MASS_RT,2,5,8,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,42,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,67,68,70,71, C12A, C15B, C19B, C21B, C23A, C25B, C27A, C28A, C2A, C30B, C32B, C33A, C34B, C35B, C36A, C39A, C40B, C42A, C43A, C44B, C46B, C47A, C48A, C49A, C50B, C53A, C54A, C56B, C57A, C5A, C60A, C62B, C64B, C65A, C67B, C68A, C70A, C71B, C8A
115.0628_0.7,245510,162175,114935,100354,423573,194119,166668,161703,105126,114518,159391,109647,288522,99434,95524,276262,130637,134604,135386,174883,298619,80009,180206,112816,200725,131990,203277,149502,145317,159348,126219,153135,136986,133806,99458,153230,202849,140011,121274,165562,195677,154915,273842,143830,198413,199163,128739,149496,81429,151785,101506,141860,162517,175359,105585,176207,248608,93643,104672,406779,188965,138762,188560,204389,209479,77613,102165,133491,159113,139355,236558,108400,161067,127981,190392,170157,102295,102534
117.0791_0.7,726511,584375,691186,365020,971979,387153,1133868,594467,754350,768813,958817,677121,775076,434169,712072,660769,618665,930795,605097,313770,980916,1016930,863368,579724,667446,1500555,812233,612506,436239,568725,567510,814057,643806,290782,368268,719526,1073739,1165400,855447,845231,915116,1046717,1454635,943135,1109494,1835564,1023981,891046,338372,847973,618750,747765,486568,927599,741377,924093,729620,1160308,552738,1168957,680742,848623,303102,564885,565152,367374,947386,520686,672596,765308,833578,678810,448295,569089,489731,704471,870069,606925
1172.7047_1.04,26949,12447,8805,4646,1507,3627,4964,10806,5511,11414,10772,22091,2221,5960,2365,29189,2505,53625,31411,14966,8329,11747,2712,19204,8958,56108,17171,39244,17801,14869,16682,12896,5194,7365,28075,10699,17533,8926,21940,12431,6595,4699,1848,6601,1769,7227,4311,2064,7770,5279,1737,8899,5444,3592,17276,34745,47774,7158,19426,3889,16629,15193,3392,108600,14833,9409,37727,20534,9271,7277,8489,7911,11288,6208,6461,26097,6403,13697
1200.8833_31.14,36934,33981,33327,37223,38965,34440,37125,37587,35630,34090,35545,33371,42394,38592,32030,34682,38680,32580,34962,34714,37653,32143,35534,33312,38144,39204,38771,35207,41691,38464,36531,36422,36644,40721,43063,33179,39454,38865,39469,43309,41631,40385,35116,33705,35172,36880,35569,42762,29793,31287,38198,38784,40325,34225,29923,38393,33950,36855,36230,36347,39294,37393,35130,36747,36004,31729,35030,36593,35696,35041,42270,35601,33440,35216,38336,36925,35669,41043
126.1043_23.47,37245,35910,31020,36151,36685,37939,36940,41269,33866,41583,38097,47556,31440,35349,35823,41868,39152,40792,44174,39585,28944,39265,44006,53131,36917,41469,41330,29980,40262,40069,34815,34774,43246,38188,37779,37842,41231,34546,36170,35482,40293,43263,36369,48082,31821,32988,35119,44244,46982,41942,37678,57412,30482,34387,38901,45181,46864,40851,44517,33908,42669,41339,38274,41548,42063,39400,42641,39897,44431,39207,41569,34381,38521,37518,50054,35286,37845,34870
128.0477_34.48,124601,117990,126022,126121,143749,114499,137581,103038,101455,127228,139358,132178,145221,111341,125414,131589,117621,127510,107976,104737,131387,130290,124457,116989,114767,100701,115304,134479,112263,135122,125871,125603,109872,115554,145412,127166,109186,142059,129890,152666,128545,114118,130573,93103,74070,98082,132177,80544,93591,127948,122994,101946,127139,79909,123674,119385,125711,112081,121312,88651,135797,106031,131529,96839,132153,76212,113290,92077,127631,110327,126736,100895,117059,105441,133427,148550,126303,109905
129.0429_0.78,231854,217012,224515,140260,233655,209771,233557,207915,142188,182653,256940,158597,325224,167272,156772,254018,200997,201830,208365,198269,291164,166776,241205,178162,304028,182473,240440,153889,208825,213783,223025,212636,206039,141268,181152,234846,280018,215415,205910,186377,227019,236568,210118,185680,208812,253681,186658,196529,144689,220008,155801,241054,179260,208065,167214,251891,261012,132055,158939,275492,283504,151367,137791,288805,203399,139444,190212,189949,284138,207560,220241,183300,241591,214947,273275,330954,181248,232490
129.0589_2.18,17150,72181,16201,12874,15488,14956,23881,9942,24494,18887,22298,9050,28620,15545,21923,6481,10907,13295,20367,4446,8995,21006,10835,11845,11698,14171,26351,42299,6073,13237,10704,32836,55002,7825,13376,7256,13152,18794,28692,39822,9963,14175,25578,17433,4828,24643,20362,8279,9106,11421,25217,10623,95060,10664,9700,16261,8128,5302,12958,6869,11347,11697,6835,32488,150774,3671,10488,13073,8668,23182,12636,16328,92526,23624,16682,9282,18485,16754
129.0739_0.79,111879,103257,72159,57622,108493,32832,16976,37492,70085,28156,74926,38678,113566,34388,45738,86261,74885,48502,90714,58628,151377,68949,67758,71961,61789,79759,81198,46691,90072,66140,30503,64386,60744,43574,59545,44429,55988,101909,24977,109049,122627,47305,74818,28006,92016,174996,37450,71780,30600,45943,57393,105238,22822,56425,37562,78947,120315,66579,72628,97685,24121,48648,63717,108112,143008,47068,43788,31453,126022,98793,58277,52135,25439,37250,100863,180320,22948,108674
133.9962_0.67,101829,89063,76858,66777,89577,86133,69095,56114,74843,64751,59847,74393,72771,105317,77210,99414,108504,68755,35957,9765,71939,53633,65635,46804,65696,121228,56294,94081,61760,58371,79210,60018,29428,10674,82784,101419,62624,56225,89025,90831,69308,54488,97872,47905,80217,65158,88186,89465,15027,120175,67765,47328,55610,86842,89008,83896,48717,52987,53743,59633,46066,80518,33629,46481,80217,12347,58787,68355,81319,37607,85649,46456,66072,55681,53407,59777,78172,43571
