 MASS_RT,2,5,8,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,42,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,67,68,70,71,C12A,C15B,C19B,C21B,C23A,C25B,C27A,C28A,C2A,C30B,C32B,C33A,C34B,C35B,C36A,C39A,C40B,C42A,C43A,C44B,C46B,C47A,C48A,C49A,C50B,C53A,C54A,C56B,C57A,C5A,C60A,C62B,C64B,C65A,C67B,C68A,C70A,C71B,C8A
228.148_14.28,106273.54,137225.05,116210.74,107150.11,128909.45,106819.73,83837.12,107681.07,113443.34,120853.22,108765.91,128385.53,126343.54,58875.19,92236.18,96225.75,81166.36,122979.37,122357.13,138515.59,139823.21,94488.58,183012.1,176943.03,140861.92,121654.63,130140.78,117369.52,127541.57,102341.03,129055.7,151557.93,108956.26,137675.14,101939.33,78722.36,114153.18,119409.66,144244.61,123825.24,125087.21,103451.29,101738.75,107983.4,108837.33,93464.97,140133.87,133370.61,93592.49,120069.88,104645.01,69681.11,139190.44,98910.51,105935.43,81208.82,102764.02,125845.66,117159.01,139086.74,106336.82,99481.53,135323.58,137412.66,112195.11,97567.02,90762.18,106084.54,107358.45,163000.6,111029.4,107685.53,92062.9,77060.52,91593.93,129728.32,92306.29,68658.47
914.1934_29.28,106209.35,124231.26,58625.57,84134.1,111856.19,53911.61,106858.13,96278.09,103869.44,59240.85,80304.71,74403.45,73998.66,47061.33,55020.91,67516.4,48472.88,88796.02,100534.36,85293.3,74846.33,43509.15,86491.2,84034.39,92321.34,68692.43,123446.75,91109.18,55030.57,80905.14,93425.51,105146.21,106507.34,79702.9,72851.34,71458.33,51690.46,92028.83,64539.05,98600.14,118744.67,65315.72,67587.21,91292.22,113195.46,67873.71,84482.26,57548.21,64665.52,69871.63,60910.15,52071.41,58277.27,40927.26,85171.63,72426.34,85234.63,93313.67,65041.76,71437.92,82984.03,77939.32,56742.82,81576.83,121513.84,46636.46,44580.42,95952.43,74560.2,100751.75,60898.04,50378.16,53538.83,47283.96,76462.2,63142.59,76221.73,38209.79
398.0751_29.83,35916.59,35938.56,36515.69,37165.58,29589.29,32149.52,45865.24,22433,33982.69,22685.96,43543.81,28401.21,68909.17,26320.02,39412.27,46224.99,63175.09,51439.95,18169.04,32203.79,39534.91,16229.98,37324.08,41991.43,80369.49,44260.05,40070.04,54867.07,16606.2,21263.91,80128.39,27656.58,19579.41,28236.7,59741.81,46783.96,57786.3,29627.74,44668.15,21261.36,29161.75,28926.53,27329.63,25986.06,49282.64,30021.86,30250.42,31667,27413.68,65420.59,50646.44,35382.74,22363.85,53638.39,28638.88,27784.39,23768.57,41135.34,29990.89,21208.7,24237.29,40282.48,66210.71,30184.11,38528.05,21542.78,52537.59,40157.15,34309.6,24579.53,29865.05,23030.49,35204.8,28164.32,36378.05,20915.32,41934.74,28905.78
157.9565_9.48,49588.64,109598.15,119543.18,91356.81,75681.14,80108.48,63922.24,82563.42,73618.85,88307.39,65888.12,117196.56,116150.95,73893.45,55411.89,96290.72,83209.08,103030.81,69691.21,91306.95,100778.16,93101.23,71179.16,143631.08,70861.7,86833.5,66535.31,70363.02,104692.98,99543.98,92943.65,78100.25,60390.12,95732.33,95693.33,70640.16,66713.47,85851.91,89319.77,63176.01,86508.16,77398.28,56355.26,84499.53,117753.01,101878.77,110798.08,115409.24,83248.81,92052.79,101092.46,90236.44,80457.55,152658.01,72891.61,114950.5,68550.76,147932.48,91541.38,79362.19,78825.91,78196.14,104685.18,84777.25,93198.98,70455.49,105725.4,72188.17,88075.38,103570.68,114903.86,90616.59,94852.85,218629.64,73894.8,88948.14,79801.68,99246.05
132.0287_9.2,5466974.09,4314512.2,7269239.18,5364761.21,7009997.89,5450690.79,4451537.04,5420105.53,5372658.3,4123517.29,3309388.72,5581735.8,6470954.64,4880431.63,5684359.11,4357285.98,6370899.65,6363754.97,5054980.06,6294458.53,5312270.33,4819307.17,5698276.83,6957456.58,5675102.15,3422791.27,5127925.97,5070650.41,4904756.32,3749192.46,4642981.94,4076942.96,4399561.16,6745787.77,4938335.54,4853711.51,6116100.68,5251632.81,6004564.74,5410820.41,5044840.97,5852942.49,5059630.55,3909472.35,5171786.69,4975872.79,5898301.14,4537712.24,4085470.67,4521274.96,7083631.22,5427693.45,4333874.16,6686989.02,4540494.41,3226283.75,4946318.96,7174042.11,5681465.33,5785177.79,5710093.54,5919520.76,4129063.9,4098980.61,4425746.63,4459950.53,3580363.06,5228412.47,5071454.67,5166610.09,5074555.49,2619248.43,5713150.12,3362295.29,4956776.36,4700402.16,3692000.19,4277809.97
137.1031_29.05,2652313.77,2520652.16,2267897.26,2406769.19,3804902.91,2201944.05,3912533.37,2131233.1,1994614.4,1997924.63,1810763.88,2074696.86,2147270.37,2535060.34,2025809.73,1957274.67,3470221.75,2370486.91,2606054.65,2300117.78,2184981.34,2155235.51,3083732.46,1740070.19,2524106.57,2225126.35,4258341.4,3538894.28,2798106.87,2847148.14,2880417.45,2856914.39,3117889.3,3326349.57,3371952.76,2313807.45,4318289.48,3422293.89,3114850.03,3902150.56,4140798.96,1056773.82,2548375.79,2810232.37,3045435.98,1943668.24,2802224.68,2339759.26,4328001.31,2439666.63,3613184.74,3548875.9,1979219.27,2335787.38,4557041.69,3751951.21,4193992.79,2062965.16,2400257,2201974.07,3229179.89,3001652.7,1950678.88,4090154.12,2973669.58,2101591.28,4067285.03,2266609.74,4323449.84,3331402.59,1282156.66,2118748.87,4009972.47,3774147.94,3658522.09,2927856.98,2288826.73,4098053.08
168.0285_29.29,2013316.19,3091113.76,1542649.12,2080758.02,2465391.68,1489118.44,2456772.2,2142126.18,2883223.9,1741347.01,2087307.93,1993093.26,1920315.11,923770.33,1429159.83,1658138.68,1078238.48,1881071.55,2798968.07,2211678.5,2218795.31,1173637.77,1905221.48,2841220.38,2787577.46,1698946.34,2488372.15,2230761.45,1368117.68,1932529.18,2186286.17,2471900.96,2374536.15,1979421.29,2018601.65,2067340.49,1514507.64,1594469.08,1582105.07,2241620.89,2272900.98,1690245.23,2226078.34,2015051.68,3024760.7,1646271.82,2190176,1784177.36,1311495.99,2158915.4,1314151.39,1024864.93,1480846.96,1415835.07,1814231.58,1326161.37,1564568.34,2379703.31,1360038.55,2125224.47,1593589.49,2236217.88,2326012.58,1846563.65,3034370.45,1292861.1,1416070.8,1968293.28,1859598.21,2467206.76,1911976.22,1469852.47,1341738.9,1467837.29,1732148.68,1564813.55,1990574.48,942983.22
309.192_15.71,38629.44,15133.78,25994.85,24747.62,43309.83,18726.47,5821.13,101614.52,88100.32,18211.44,5575.89,12241.37,12633.1,7762.43,13940.94,10959.62,37718.91,15214.12,8158.29,37558.14,18468.56,15061.37,18438.57,13965.87,12845.8,8941.28,15562.54,5299.21,16601.23,10821.71,12812.94,13030.43,20906.57,14790.81,37917.47,8515.49,6315.7,8628.53,54390.19,22675.35,17266.26,11087.94,14211.88,8839.99,14713.92,13453.07,25592.86,10286.98,11105.27,8600.93,15948.84,14986.6,38394.39,7900.7,11082.39,8433.09,21877.93,10619.73,5564.54,10450.3,30018.24,6271.77,54647.09,11699.37,47625.26,10492.45,11606.94,5297.54,9840.22,29756.69,11779.61,14311.47,22056.27,10526.87,4168.94,8903.11,6831.04,15332.03
203.9543_8.86,140024.68,151602.19,154565.01,169801.6,151177.53,156108.49,125224.95,142130.38,137290.29,145881.1,147261.83,145380.6,157502.41,143419.16,142570.66,160314.3,148614.87,150337.21,142976.37,145480.26,135263.71,161640.1,140796.13,140823.52,148409.91,156658.93,131228,127841.21,154489.32,187946.9,159888.57,145632.71,118859.04,142309.53,150659.73,126480.39,131594.05,130548.87,147666.72,143311.61,140873.59,177091.07,147078.18,149749.56,141183.52,149597.06,164076.13,165275.51,148052.11,145635.06,146923.11,124469.54,167571.53,153427.05,134954.3,187313.97,142224.28,161240.11,151692.67,163456.33,134478.98,144104.07,153669.35,129593.11,157671.66,144561.06,147522.33,127853.9,142673.19,148969.24,164841.99,200203.12,133913.98,227136.47,138539.56,154308.43,150290.52,131152.72
336.0574_29.29,2002120.26,3074251.98,1537444.06,2070993.29,2455791.92,1480633.57,2447937.29,2124441.88,2880964.94,1733096.87,2084664.86,1976882.08,1916946.86,915798.59,1428258.07,1649655.94,1070011.32,1872326.07,2791687.08,2207667.79,2217716.52,1168413.96,1889511.16,2828139.27,2783337.93,1682973.66,2482603.55,2224863.46,1363857.11,1920817.88,2172563.72,2461135.74,2360163.17,1979628.63,2015228.27,2059221.99,1509543.73,1589215.94,1574513.24,2241399.62,2282904.11,1690551.16,2217659.51,2000279.07,3026292.22,1659579.28,2175488.89,1771661.88,1314048.32,2178220.88,1326815.58,1027334.63,1490439.21,1417892.16,1813586.8,1339237.28,1569076.71,2369173.45,1352957.8,2129522.94,1596106.36,2233568.45,2322911.05,1851002.4,3019160.19,1305214.45,1419947.15,1963718.3,1863522.92,2459877.73,1957902.96,1482936.53,1364732.88,1492231.78,1743202.5,1595905.22,1996421.38,946549.07
