 MASS_RT,2,5,8,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,42,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,67,68,70,71, C12A, C15B, C19B, C21B, C23A, C25B, C27A, C28A, C2A, C30B, C32B, C33A, C34B, C35B, C36A, C39A, C40B, C42A, C43A, C44B, C46B, C47A, C48A, C49A, C50B, C53A, C54A, C56B, C57A, C5A, C60A, C62B, C64B, C65A, C67B, C68A, C70A, C71B, C8A
643.4877,40877.0,42328.0,39882.0,42441.0,42956.0,42223.0,43851.0,43813.0,45015.0,47628.0,44637.0,43099.0,45967.0,43312.0,43512.0,40162.0,44367.0,38527.0,43305.0,39836.0,32004.0,41589.0,41855.0,43038.0,43262.0,47796.0,33225.0,45007.0,47593.0,50820.0,51757.0,44956.0,41652.0,46475.0,52679.0,40709.0,35816.0,40375.0,46462.0,49750.0,46386.0,41198.0,43713.0,41439.0,42991.0,44373.0,43477.0,41223.0,37577.0,38745.0,47575.0,45947.0,47311.0,38513.0,40883.0,45356.0,44626.0,39566.0,44232.0,44778.0,49218.0,43242.0,40971.0,46771.0,43319.0,43074.0,49664.0,45581.0,45769.0,46396.0,45930.0,45581.0,48919.0,46141.0,37333.0,42610.0,61624.0,40739.0
646.505,81295.0,56424.0,120704.0,87818.0,97182.0,76500.0,88796.0,78233.0,43427.0,37033.0,71597.0,98885.0,111827.0,46995.0,60678.0,72585.0,135910.0,55093.0,57804.0,10786.0,63217.0,79889.0,80984.0,68464.0,67253.0,52273.0,68932.0,75564.0,49504.0,56832.0,24449.0,89621.0,126938.0,27883.0,65058.0,131971.0,39554.0,41285.0,55511.0,184234.0,61874.0,100631.0,52608.0,81258.0,54469.0,82717.0,57276.0,75370.0,18124.0,40361.0,81357.0,51396.0,210453.0,74798.0,31584.0,75919.0,73635.0,51658.0,80887.0,52591.0,96330.0,51719.0,15179.0,43738.0,67591.0,12017.0,76418.0,70487.0,103456.0,65337.0,103523.0,128711.0,106785.0,45489.0,68902.0,67657.0,45144.0,51677.0
651.4932,6160.0,17575.0,15131.0,16933.0,10866.0,5910.0,16586.0,17182.0,8917.0,8048.0,19795.0,7174.0,11306.0,7176.0,4903.0,6234.0,12954.0,4468.0,5261.0,5239.0,4120.0,19542.0,9010.0,13816.0,9217.0,5255.0,6849.0,95113.0,6936.0,5940.0,4612.0,4925.0,13949.0,4978.0,6413.0,25372.0,64951.0,20150.0,22622.0,13907.0,19053.0,8864.0,7395.0,3794.0,6894.0,5324.0,10598.0,4423.0,4527.0,3782.0,8403.0,6127.0,9998.0,4969.0,5934.0,5938.0,5770.0,4387.0,17324.0,7209.0,6718.0,13997.0,11841.0,4718.0,39511.0,3812.0,96231.0,3936.0,4865.0,4527.0,18456.0,15787.0,4154.0,9089.0,33512.0,33372.0,11086.0,16861.0
653.2892,17849.0,32082.0,32579.0,26310.0,39001.0,25256.0,35325.0,21203.0,29258.0,22752.0,33777.0,29374.0,33898.0,21993.0,31026.0,19217.0,28395.0,23672.0,21255.0,8054.0,25619.0,31395.0,28775.0,17384.0,35807.0,24087.0,25370.0,29637.0,19192.0,20558.0,32729.0,30763.0,28520.0,6074.0,30416.0,30351.0,29753.0,29815.0,34050.0,26786.0,24651.0,35619.0,37289.0,15777.0,20315.0,27654.0,30340.0,22074.0,3632.0,28018.0,19492.0,16737.0,31766.0,28584.0,21761.0,26397.0,21418.0,11188.0,23537.0,21467.0,31661.0,23839.0,10875.0,23366.0,26535.0,4384.0,27418.0,26501.0,29087.0,31103.0,33042.0,29093.0,32340.0,29616.0,25894.0,36156.0,35069.0,25898.0
653.2898,35719.0,39652.0,40943.0,41577.0,50973.0,44692.0,38637.0,44305.0,40043.0,41569.0,41983.0,41077.0,68619.0,41761.0,41971.0,34335.0,44426.0,44460.0,44365.0,44619.0,96628.0,43908.0,51883.0,43977.0,58367.0,46806.0,53866.0,41337.0,39362.0,39775.0,40336.0,43634.0,38649.0,35541.0,43164.0,36556.0,53679.0,42330.0,41071.0,61433.0,53053.0,43993.0,51317.0,39402.0,43647.0,53812.0,44097.0,44353.0,27601.0,41453.0,46899.0,39831.0,39157.0,46524.0,40939.0,53374.0,40336.0,40048.0,44921.0,47751.0,53061.0,41107.0,41491.0,41648.0,42571.0,27756.0,38764.0,38437.0,41152.0,39723.0,58103.0,41362.0,38386.0,44471.0,55066.0,39504.0,39986.0,43212.0
653.5066,9405.0,8680.0,10497.0,18892.0,13522.0,20327.0,11497.0,16014.0,9729.0,21211.0,14412.0,12918.0,33910.0,14552.0,17461.0,14146.0,25189.0,10446.0,16809.0,11641.0,22790.0,9725.0,14853.0,13048.0,29549.0,17063.0,22166.0,32741.0,26435.0,26469.0,18885.0,18995.0,12228.0,16014.0,34318.0,9874.0,27989.0,14490.0,49656.0,48893.0,15705.0,18280.0,12705.0,10056.0,21138.0,13341.0,33826.0,12521.0,6379.0,12354.0,18660.0,10510.0,19035.0,11732.0,11597.0,15364.0,12226.0,9828.0,7827.0,10126.0,25403.0,11599.0,9708.0,17007.0,18865.0,9894.0,24295.0,11273.0,9462.0,11129.0,28905.0,54302.0,22809.0,21639.0,20754.0,32575.0,33459.0,10666.0
656.5279,60473.0,66292.0,110209.0,71761.0,75198.0,57204.0,93641.0,88666.0,51395.0,37311.0,87845.0,88091.0,83345.0,54562.0,57285.0,53256.0,74943.0,54723.0,64957.0,11551.0,47363.0,71540.0,76339.0,77094.0,50122.0,62501.0,65531.0,67266.0,46824.0,70658.0,35782.0,94247.0,102550.0,28030.0,58309.0,83493.0,33875.0,49408.0,48044.0,115924.0,50236.0,80153.0,52167.0,95848.0,74252.0,81887.0,53521.0,71778.0,15257.0,50119.0,72345.0,45215.0,139955.0,73694.0,42971.0,75042.0,91630.0,54014.0,56736.0,64576.0,75533.0,66757.0,12064.0,45988.0,71912.0,8725.0,72658.0,100591.0,68257.0,72366.0,66918.0,122608.0,85892.0,52697.0,63984.0,75440.0,53981.0,64653.0
657.5016,23781.0,22239.0,20552.0,24823.0,21175.0,17611.0,23292.0,23201.0,19659.0,50402.0,27544.0,18612.0,28792.0,17305.0,19561.0,19059.0,19078.0,19356.0,19519.0,17350.0,14131.0,23617.0,19211.0,18802.0,23887.0,21877.0,19144.0,56233.0,25627.0,25602.0,23865.0,21628.0,23884.0,18869.0,31403.0,27280.0,49301.0,35986.0,92244.0,34193.0,25742.0,20055.0,20258.0,15430.0,22823.0,18548.0,26889.0,16172.0,24014.0,18794.0,28751.0,19602.0,18526.0,18687.0,22083.0,18491.0,18960.0,16909.0,33416.0,26747.0,18649.0,20710.0,21822.0,18897.0,39365.0,18287.0,59691.0,25961.0,20266.0,22001.0,24584.0,81103.0,28333.0,40511.0,30801.0,49474.0,35260.0,24362.0
657.5038,62095.0,64469.0,63851.0,63061.0,64269.0,66803.0,67483.0,64109.0,61039.0,71988.0,71076.0,66993.0,69145.0,62435.0,66652.0,63111.0,62741.0,59976.0,63047.0,65543.0,63981.0,69653.0,64580.0,61259.0,64455.0,59624.0,58128.0,60159.0,61222.0,64683.0,66866.0,66214.0,63677.0,66783.0,69781.0,61415.0,66791.0,66149.0,81086.0,72568.0,70873.0,62545.0,56699.0,58160.0,59934.0,60992.0,65989.0,60736.0,57483.0,63836.0,66753.0,65942.0,65981.0,59425.0,63663.0,69660.0,65787.0,60074.0,67148.0,61901.0,65973.0,63806.0,66491.0,63391.0,67699.0,61788.0,63787.0,63984.0,64415.0,64018.0,71253.0,73361.0,62271.0,64909.0,57965.0,67672.0,70530.0,63257.0
658.5129,38505.0,35807.0,23994.0,26622.0,30380.0,37981.0,29885.0,31311.0,27637.0,37235.0,43802.0,36921.0,28808.0,30672.0,30509.0,32331.0,27805.0,43701.0,43350.0,37803.0,36984.0,40043.0,32385.0,35853.0,31759.0,34794.0,39695.0,24267.0,33274.0,35416.0,37296.0,30742.0,32131.0,42415.0,35267.0,29172.0,34341.0,36058.0,34455.0,31421.0,39929.0,21910.0,36486.0,40977.0,21857.0,19227.0,34236.0,19052.0,33460.0,32522.0,40541.0,45301.0,23354.0,15840.0,37774.0,42586.0,45143.0,37646.0,44232.0,23593.0,43682.0,27700.0,43737.0,42929.0,34240.0,40161.0,30242.0,38442.0,35503.0,32166.0,30842.0,23981.0,26002.0,28032.0,44033.0,24033.0,32556.0,27609.0
